start_pair,10^-2,10^-3,10^-4,10^-5,10^-7,10^-10,10^-15
"(-1.2, -0.1)",,0.4301597090019467,0.4301597090019451,0.43015970839331136,-0.09996642812091498,-0.09996642812091498,-0.09996642812091498
"(-1.2, -0.2)",,0.43015970900194667,0.43015970900194667,0.43015970891008415,0.43015970891008415,-0.19988742368992013,-0.19988742368992013
"(-1.2, -0.3)",,0.4301597090019467,0.43015970900004197,0.43015970900004197,0.4301596616799273,-0.2996633065885027,-0.2996633065885027
"(-1.2, -0.4)",,0.4301597090019468,0.43015970900194384,0.43015970814353216,0.43015970814353216,-0.39908970207342126,-0.39908970207342126
"(-1.2, -0.5)",,0.4301597090019468,0.4301597090005436,0.4301597090005436,0.430159669813078,0.430159669813078,-0.49775334166169016
"(-1.2, -0.6)",,0.43015970900194667,0.43015970900194667,0.43015970893194766,0.4301592710780851,0.4301592710780851,-0.5949031507689818
"(-1.2, -0.7)",,0.4301597090019467,0.43015970900194445,0.43015970825606487,0.43015970825606487,0.43015781556551175,0.42991891198814597
"(-1.2, -0.8)",,0.4301597090019468,0.43015970900193096,0.43015970654255675,0.43015970654255675,0.43015574187315164,0.4297832101397571
"(-1.2, -0.9)",,0.4301597090019467,0.43015970900192646,0.43015970612723803,0.43015970612723803,0.4301553386677996,0.42976066203199803
"(-1.2, -1.0)",,0.4301597090019467,0.4301597090019422,0.43015970786804025,0.43015970786804025,0.4301572544211246,0.4298778845943851
"(-1.2, -1.1)",0.4301597090019467,0.4301597090019467,0.4301597090019466,0.4301597088833948,0.4301597088833948,0.4301591024645354,0.4300395396451638
"(-1.2, 0.0)",,0.4301597090019467,0.4301597090019449,8.767259318671816e-06,8.767259318671816e-06,8.767259318671816e-06,8.767259318671816e-06
"(-1.2, 0.1)",,0.43015970900194667,0.43015970900194667,0.10000195551467896,0.10000195551467896,0.10000195551467896,0.10000195551467896
"(-1.2, 0.2)",,0.4301597090019468,0.43015970900168093,0.2000003598786824,0.2000003598786824,0.2000003598786824,0.2000003598786824
"(-1.2, 0.3)",,0.4301597090019467,0.3000000519637886,0.3000000519637886,0.3000000519637886,0.3000000519637886,0.3000000519637886
"(-1.2, 0.4)",,0.4301597090019467,0.40000000427052884,0.40000000427052884,0.40000000427052884,0.40000000427052884,0.40000000427052884
"(-1.2, 0.5)",0.4301597090019467,0.4301597090019467,0.4999999882499395,0.4999999882499395,0.4999999882499395,0.4999999882499395,0.4999999882499395
"(-1.2, 0.6)",,0.4301597090019467,0.5999999204963083,0.5999999204963083,0.5999999204963083,0.5999999204963083,0.5999999204963083
"(-1.2, 0.7)",,0.4301597090019467,0.4301597090020486,0.6999996078852999,0.6999996078852999,0.6999996078852999,0.6999996078852999
"(-1.2, 0.8)",,0.4301597090019467,0.4301597090021189,0.7999984310505255,0.7999984310505255,0.7999984310505255,0.7999984310505255
"(0.8, -0.1)",,0.4301597090019467,0.4301597090019467,0.4301597090228615,0.43015944326952044,0.43015944326952044,0.4302084914114544
"(0.8, -0.2)",,0.4301597090019467,0.4301597090019734,0.4301597127855248,0.4301597127855248,0.4301553467450952,0.78677436727213
"(0.8, -0.3)",,0.4301597090019467,0.4301597090020534,0.4301597187398475,0.4301597187398475,0.4301529360539351,0.795464631655534
"(0.8, -0.4)",,0.4301597090019467,0.4301597090020947,0.43015972135350644,0.43015972135350644,0.798353727270179,0.798353727270179
"(0.8, -0.5)",,0.4301597090019467,0.43015970900210965,0.43015972228836297,0.43015972228836297,0.7993639642039483,0.7993639642039483
"(0.8, -0.6)",,0.4301597090019467,0.4301597090021152,0.43015972263394847,0.43015972263394847,0.7997394770076195,0.7997394770076195
"(0.8, -0.7)",,0.4301597090019467,0.4301597090021173,0.4301597227695951,0.7998875098596739,0.7998875098596739,0.7998875098596739
"(0.8, -0.8)",,0.4301597090019467,0.4301597090021182,0.4301597228258947,0.7999490798466632,0.7999490798466632,0.7999490798466632
"(0.8, -0.9)",,0.4301597090019467,0.43015970900211853,0.43015972285044474,0.7999759537419315,0.7999759537419315,0.7999759537419315
"(0.8, -1.0)",,0.4301597090019467,0.43015970900211875,0.7999882036528498,0.7999882036528498,0.7999882036528498,0.7999882036528498
"(0.8, -1.1)",,0.4301597090019468,0.4301597090021188,0.7999940103502763,0.7999940103502763,0.7999940103502763,0.7999940103502763
"(0.8, -1.2)",,0.4301597090019467,0.43015970900211886,0.7999968621330512,0.7999968621330512,0.7999968621330512,0.7999968621330512
"(0.8, 0.0)",,0.4301597090019467,0.43015970900213096,0.4301596878199834,0.4301596878199834,0.4301596878199834,0.4301650882151707
"(0.8, 0.1)",,0.4301597090019468,0.4301597090021588,0.4301597249846494,0.4301597249846494,0.4301597249846494,0.5533919157123492
"(0.8, 0.2)",0.4301597090019467,0.4301597090019467,0.4301597090019464,0.4301597087583303,0.4301597087583303,0.43015877968565097,0.35516841707375996
"(0.8, 0.3)",,0.4301597090019467,0.43015970900193434,0.4301597068871737,0.4301597068871737,0.430156085788003,0.4298048700461701
"(0.8, 0.4)",,0.4301597090019467,0.4301597090019186,0.4301597051786207,0.4301597051786207,0.43015515574938695,0.40135633579702606
"(0.8, 0.5)",,0.4301597090019468,0.4301597090019468,0.4301597090662914,0.4301591894610587,0.4301591894610587,0.4973332853193246
"(0.8, 0.6)",,0.4301597090019468,0.43015970900200934,0.4301597157342751,0.4301597157342751,0.43015395652234145,0.43015395652234145
"(0.8, 0.7)",,0.4301597090019467,0.43015970900195166,0.43015971024932725,0.43015971024932725,0.4301572530174558,0.4304786059361273
