start_point,rho,criterion,iterations,error,status
-1.2,0.01,inc,21,2.7661690345126555e-05,0
-1.2,0.01,res,16,0.15963513947643043,2
-1.2,0.001,inc,22,1.2406811134013651e-09,0
-1.2,0.001,res,19,0.026846240106065622,0
-1.2,0.0001,inc,22,1.2406811134013651e-09,0
-1.2,0.0001,res,20,0.0035759035180273346,0
-1.2,1e-05,inc,23,5.551115123125783e-17,0
-1.2,1e-05,res,21,2.7661690345126555e-05,0
-1.2,1e-06,inc,23,5.551115123125783e-17,0
-1.2,1e-06,res,21,2.7661690345126555e-05,0
-1.2,1e-07,inc,23,5.551115123125783e-17,0
-1.2,1e-07,res,22,1.2406811134013651e-09,0
-1.2,1e-08,inc,23,5.551115123125783e-17,0
-1.2,1e-08,res,22,1.2406811134013651e-09,0
-1.2,1e-09,inc,24,0.0,0
-1.2,1e-09,res,22,1.2406811134013651e-09,0
-1.1,0.01,inc,20,0.00020844227788602288,0
-1.1,0.01,res,16,0.1264896335658809,2
-1.1,0.001,inc,21,7.166398197089308e-08,0
-1.1,0.001,res,18,0.0385759161488905,0
-1.1,0.0001,inc,22,8.326672684688674e-15,0
-1.1,0.0001,res,19,0.008505585190706377,0
-1.1,1e-05,inc,22,8.326672684688674e-15,0
-1.1,1e-05,res,20,0.00020844227788602288,0
-1.1,1e-06,inc,22,8.326672684688674e-15,0
-1.1,1e-06,res,21,7.166398197089308e-08,0
-1.1,1e-07,inc,22,8.326672684688674e-15,0
-1.1,1e-07,res,21,7.166398197089308e-08,0
-1.1,1e-08,inc,23,0.0,0
-1.1,1e-08,res,21,7.166398197089308e-08,0
-1.1,1e-09,inc,23,0.0,0
-1.1,1e-09,res,21,7.166398197089308e-08,0
-1.0,0.01,inc,20,1.3469875830840472e-06,0
-1.0,0.01,res,15,0.14069258314365324,2
-1.0,0.001,inc,20,1.3469875830840472e-06,0
-1.0,0.001,res,17,0.05009044151051828,2
-1.0,0.0001,inc,21,2.9344859875379825e-12,0
-1.0,0.0001,res,19,0.0008767039074003002,0
-1.0,1e-05,inc,21,2.9344859875379825e-12,0
-1.0,1e-05,res,19,0.0008767039074003002,0
-1.0,1e-06,inc,22,0.0,0
-1.0,1e-06,res,20,1.3469875830840472e-06,0
-1.0,1e-07,inc,22,0.0,0
-1.0,1e-07,res,20,1.3469875830840472e-06,0
-1.0,1e-08,inc,22,0.0,0
-1.0,1e-08,res,21,2.9344859875379825e-12,0
-1.0,1e-09,inc,22,0.0,0
-1.0,1e-09,res,21,2.9344859875379825e-12,0
-0.9,0.01,inc,19,1.1200630146424029e-05,0
-0.9,0.01,res,14,0.1533777429681641,2
-0.9,0.001,inc,20,2.0309753878677839e-10,0
-0.9,0.001,res,16,0.06071316900038137,2
-0.9,0.0001,inc,20,2.0309753878677839e-10,0
-0.9,0.0001,res,18,0.0023771809562584956,0
-0.9,1e-05,inc,21,5.551115123125783e-17,0
-0.9,1e-05,res,19,1.1200630146424029e-05,0
-0.9,1e-06,inc,21,5.551115123125783e-17,0
-0.9,1e-06,res,19,1.1200630146424029e-05,0
-0.9,1e-07,inc,21,5.551115123125783e-17,0
-0.9,1e-07,res,20,2.0309753878677839e-10,0
-0.9,1e-08,inc,21,5.551115123125783e-17,0
-0.9,1e-08,res,20,2.0309753878677839e-10,0
-0.9,1e-09,inc,21,5.551115123125783e-17,0
-0.9,1e-09,res,20,2.0309753878677839e-10,0
-0.8,0.01,inc,18,5.115530947452651e-05,0
-0.8,0.01,res,13,0.16425220597369067,2
-0.8,0.001,inc,19,4.252624141720673e-09,0
-0.8,0.001,res,16,0.029998951271895946,0
-0.8,0.0001,inc,19,4.252624141720673e-09,0
-0.8,0.0001,res,17,0.004686542105883595,0
-0.8,1e-05,inc,20,5.551115123125783e-17,0
-0.8,1e-05,res,18,5.115530947452651e-05,0
-0.8,1e-06,inc,20,5.551115123125783e-17,0
-0.8,1e-06,res,18,5.115530947452651e-05,0
-0.8,1e-07,inc,20,5.551115123125783e-17,0
-0.8,1e-07,res,19,4.252624141720673e-09,0
-0.8,1e-08,inc,20,5.551115123125783e-17,0
-0.8,1e-08,res,19,4.252624141720673e-09,0
-0.8,1e-09,inc,21,0.0,0
-0.8,1e-09,res,19,4.252624141720673e-09,0
-0.7,0.01,inc,17,0.0001464490111275918,0
-0.7,0.01,res,13,0.1234849020435369,2
-0.7,0.001,inc,18,3.516986629703567e-08,0
-0.7,0.001,res,15,0.03621561824865199,0
-0.7,0.0001,inc,19,1.9984014443252818e-15,0
-0.7,0.0001,res,16,0.00734259809292398,0
-0.7,1e-05,inc,19,1.9984014443252818e-15,0
