start_point1,start_point2,rho,iterations
0.8,-1.2,0.01,6
-1.2,-1.0999999999999999,0.01,23
0.8,-1.0999999999999999,0.01,6
-1.2,-1.0,0.01,23
0.8,-1.0,0.01,6
-1.2,-0.8999999999999999,0.01,22
0.8,-0.8999999999999999,0.01,6
-1.2,-0.7999999999999999,0.01,21
0.8,-0.7999999999999999,0.01,6
-1.2,-0.7,0.01,20
0.8,-0.7,0.01,6
-1.2,-0.5999999999999999,0.01,18
0.8,-0.5999999999999999,0.01,6
-1.2,-0.4999999999999999,0.01,17
0.8,-0.4999999999999999,0.01,6
-1.2,-0.3999999999999999,0.01,16
0.8,-0.3999999999999999,0.01,6
-1.2,-0.29999999999999993,0.01,14
0.8,-0.29999999999999993,0.01,6
-1.2,-0.19999999999999996,0.01,12
0.8,-0.19999999999999996,0.01,6
-1.2,-0.09999999999999987,0.01,11
0.8,-0.09999999999999987,0.01,6
-1.2,2.220446049250313e-16,0.01,9
0.8,2.220446049250313e-16,0.01,5
-1.2,0.10000000000000009,0.01,6
0.8,0.10000000000000009,0.01,2
-1.2,0.20000000000000018,0.01,4
0.8,0.20000000000000018,0.01,2
-1.2,0.30000000000000004,0.01,1
0.8,0.30000000000000004,0.01,1
-1.2,0.40000000000000013,0.01,1
0.8,0.40000000000000013,0.01,1
-1.2,0.5000000000000002,0.01,1
0.8,0.5000000000000002,0.01,1
-1.2,0.6000000000000001,0.01,1
0.8,0.6000000000000001,0.01,1
-1.2,0.7000000000000002,0.01,3
0.8,0.7000000000000002,0.01,3
-1.2,0.8,0.01,5
0.8,-1.2,0.001,10
-1.2,-1.0999999999999999,0.001,27
0.8,-1.0999999999999999,0.001,10
-1.2,-1.0,0.001,26
0.8,-1.0,0.001,10
-1.2,-0.8999999999999999,0.001,25
0.8,-0.8999999999999999,0.001,10
-1.2,-0.7999999999999999,0.001,24
0.8,-0.7999999999999999,0.001,10
-1.2,-0.7,0.001,23
0.8,-0.7,0.001,10
-1.2,-0.5999999999999999,0.001,22
0.8,-0.5999999999999999,0.001,10
-1.2,-0.4999999999999999,0.001,20
0.8,-0.4999999999999999,0.001,10
-1.2,-0.3999999999999999,0.001,19
0.8,-0.3999999999999999,0.001,10
-1.2,-0.29999999999999993,0.001,17
0.8,-0.29999999999999993,0.001,9
-1.2,-0.19999999999999996,0.001,16
0.8,-0.19999999999999996,0.001,9
-1.2,-0.09999999999999987,0.001,14
0.8,-0.09999999999999987,0.001,9
-1.2,2.220446049250313e-16,0.001,12
0.8,2.220446049250313e-16,0.001,8
-1.2,0.10000000000000009,0.001,10
0.8,0.10000000000000009,0.001,4
-1.2,0.20000000000000018,0.001,7
0.8,0.20000000000000018,0.001,4
-1.2,0.30000000000000004,0.001,4
0.8,0.30000000000000004,0.001,4
-1.2,0.40000000000000013,0.001,1
0.8,0.40000000000000013,0.001,1
-1.2,0.5000000000000002,0.001,1
0.8,0.5000000000000002,0.001,1
-1.2,0.6000000000000001,0.001,5
0.8,0.6000000000000001,0.001,4
-1.2,0.7000000000000002,0.001,7
0.8,0.7000000000000002,0.001,6
-1.2,0.8,0.001,9
0.8,-1.2,0.0001,12
-1.2,-1.0999999999999999,0.0001,29
0.8,-1.0999999999999999,0.0001,12
-1.2,-1.0,0.0001,28
0.8,-1.0,0.0001,12
-1.2,-0.8999999999999999,0.0001,27
0.8,-0.8999999999999999,0.0001,12
-1.2,-0.7999999999999999,0.0001,26
0.8,-0.7999999999999999,0.0001,12
-1.2,-0.7,0.0001,25
0.8,-0.7,0.0001,12
-1.2,-0.5999999999999999,0.0001,24
0.8,-0.5999999999999999,0.0001,12
-1.2,-0.4999999999999999,0.0001,22
0.8,-0.4999999999999999,0.0001,12
-1.2,-0.3999999999999999,0.0001,21
0.8,-0.3999999999999999,0.0001,12
-1.2,-0.29999999999999993,0.0001,20
0.8,-0.29999999999999993,0.0001,12
-1.2,-0.19999999999999996,0.0001,18
0.8,-0.19999999999999996,0.0001,12
-1.2,-0.09999999999999987,0.0001,16
0.8,-0.09999999999999987,0.0001,11
-1.2,2.220446049250313e-16,0.0001,14
0.8,2.220446049250313e-16,0.0001,10
-1.2,0.10000000000000009,0.0001,12
0.8,0.10000000000000009,0.0001,7
-1.2,0.20000000000000018,0.0001,9
0.8,0.20000000000000018,0.0001,6
-1.2,0.30000000000000004,0.0001,7
0.8,0.30000000000000004,0.0001,6
-1.2,0.40000000000000013,0.0001,3
0.8,0.40000000000000013,0.0001,3
-1.2,0.5000000000000002,0.0001,4
0.8,0.5000000000000002,0.0001,4
-1.2,0.6000000000000001,0.0001,7
0.8,0.6000000000000001,0.0001,7
-1.2,0.7000000000000002,0.0001,9
0.8,0.7000000000000002,0.0001,8
-1.2,0.8,0.0001,11
0.8,-1.2,1e-05,13
-1.2,-1.0999999999999999,1e-05,30
0.8,-1.0999999999999999,1e-05,13
-1.2,-1.0,1e-05,29
0.8,-1.0,1e-05,13
-1.2,-0.8999999999999999,1e-05,28
0.8,-0.8999999999999999,1e-05,13
-1.2,-0.7999999999999999,1e-05,27
0.8,-0.7999999999999999,1e-05,13
-1.2,-0.7,1e-05,26
0.8,-0.7,1e-05,13
-1.2,-0.5999999999999999,1e-05,25
0.8,-0.5999999999999999,1e-05,13
-1.2,-0.4999999999999999,1e-05,24
0.8,-0.4999999999999999,1e-05,13
-1.2,-0.3999999999999999,1e-05,22
0.8,-0.3999999999999999,1e-05,13
-1.2,-0.29999999999999993,1e-05,21
0.8,-0.29999999999999993,1e-05,12
-1.2,-0.19999999999999996,1e-05,19
0.8,-0.19999999999999996,1e-05,12
-1.2,-0.09999999999999987,1e-05,17
0.8,-0.09999999999999987,1e-05,12
-1.2,2.220446049250313e-16,1e-05,15
0.8,2.220446049250313e-16,1e-05,11
-1.2,0.10000000000000009,1e-05,13
0.8,0.10000000000000009,1e-05,8
-1.2,0.20000000000000018,1e-05,10
0.8,0.20000000000000018,1e-05,7
-1.2,0.30000000000000004,1e-05,8
0.8,0.30000000000000004,1e-05,7
-1.2,0.40000000000000013,1e-05,4
0.8,0.40000000000000013,1e-05,4
-1.2,0.5000000000000002,1e-05,5
0.8,0.5000000000000002,1e-05,5
-1.2,0.6000000000000001,1e-05,8
0.8,0.6000000000000001,1e-05,7
-1.2,0.7000000000000002,1e-05,10
0.8,0.7000000000000002,1e-05,9
-1.2,0.8,1e-05,12
0.8,-1.2,1e-07,13
-1.2,-1.0999999999999999,1e-07,31
0.8,-1.0999999999999999,1e-07,13
-1.2,-1.0,1e-07,30
0.8,-1.0,1e-07,13
-1.2,-0.8999999999999999,1e-07,29
0.8,-0.8999999999999999,1e-07,13
-1.2,-0.7999999999999999,1e-07,28
0.8,-0.7999999999999999,1e-07,13
-1.2,-0.7,1e-07,27
0.8,-0.7,1e-07,13
-1.2,-0.5999999999999999,1e-07,26
0.8,-0.5999999999999999,1e-07,13
-1.2,-0.4999999999999999,1e-07,25
0.8,-0.4999999999999999,1e-07,13
-1.2,-0.3999999999999999,1e-07,23
0.8,-0.3999999999999999,1e-07,13
-1.2,-0.29999999999999993,1e-07,22
0.8,-0.29999999999999993,1e-07,13
-1.2,-0.19999999999999996,1e-07,20
0.8,-0.19999999999999996,1e-07,13
-1.2,-0.09999999999999987,1e-07,18
0.8,-0.09999999999999987,1e-07,13
-1.2,2.220446049250313e-16,1e-07,16
0.8,2.220446049250313e-16,1e-07,11
-1.2,0.10000000000000009,1e-07,14
0.8,0.10000000000000009,1e-07,8
-1.2,0.20000000000000018,1e-07,12
0.8,0.20000000000000018,1e-07,8
-1.2,0.30000000000000004,1e-07,9
0.8,0.30000000000000004,1e-07,8
-1.2,0.40000000000000013,1e-07,5
0.8,0.40000000000000013,1e-07,5
-1.2,0.5000000000000002,1e-07,6
0.8,0.5000000000000002,1e-07,6
-1.2,0.6000000000000001,1e-07,8
0.8,0.6000000000000001,1e-07,8
-1.2,0.7000000000000002,1e-07,10
0.8,0.7000000000000002,1e-07,10
-1.2,0.8,1e-07,12
0.8,-1.2,1e-10,15
-1.2,-1.0999999999999999,1e-10,32
0.8,-1.0999999999999999,1e-10,15
-1.2,-1.0,1e-10,31
0.8,-1.0,1e-10,15
-1.2,-0.8999999999999999,1e-10,30
0.8,-0.8999999999999999,1e-10,15
-1.2,-0.7999999999999999,1e-10,29
0.8,-0.7999999999999999,1e-10,15
-1.2,-0.7,1e-10,28
0.8,-0.7,1e-10,15
-1.2,-0.5999999999999999,1e-10,27
0.8,-0.5999999999999999,1e-10,15
-1.2,-0.4999999999999999,1e-10,26
0.8,-0.4999999999999999,1e-10,15
-1.2,-0.3999999999999999,1e-10,24
0.8,-0.3999999999999999,1e-10,15
-1.2,-0.29999999999999993,1e-10,23
0.8,-0.29999999999999993,1e-10,15
-1.2,-0.19999999999999996,1e-10,21
0.8,-0.19999999999999996,1e-10,14
-1.2,-0.09999999999999987,1e-10,19
0.8,-0.09999999999999987,1e-10,14
-1.2,2.220446049250313e-16,1e-10,17
0.8,2.220446049250313e-16,1e-10,13
-1.2,0.10000000000000009,1e-10,15
0.8,0.10000000000000009,1e-10,10
-1.2,0.20000000000000018,1e-10,13
0.8,0.20000000000000018,1e-10,9
-1.2,0.30000000000000004,1e-10,10
0.8,0.30000000000000004,1e-10,9
-1.2,0.40000000000000013,1e-10,6
0.8,0.40000000000000013,1e-10,6
-1.2,0.5000000000000002,1e-10,7
0.8,0.5000000000000002,1e-10,7
-1.2,0.6000000000000001,1e-10,10
