start_point1,start_point2,rho,value
0.8,-1.2,0.01,0.6265728632246632
-1.2,-1.0999999999999999,0.01,0.26694439132296616
0.8,-1.0999999999999999,0.01,0.6265710753766066
-1.2,-1.0,0.01,0.29373942852144563
0.8,-1.0,0.01,0.6265674349885827
-1.2,-0.8999999999999999,0.01,0.2904068744033619
0.8,-0.8999999999999999,0.01,0.6265597550006557
-1.2,-0.7999999999999999,0.01,0.2909781835205735
0.8,-0.7999999999999999,0.01,0.626542905850211
-1.2,-0.7,0.01,0.2951845733214248
0.8,-0.7,0.01,0.626504299275352
-1.2,-0.5999999999999999,0.01,0.2686377871097109
0.8,-0.5999999999999999,0.01,0.6264114546388898
-1.2,-0.4999999999999999,0.01,0.2799985755367826
0.8,-0.4999999999999999,0.01,0.6261757922572045
-1.2,-0.3999999999999999,0.01,0.2947034035732951
0.8,-0.3999999999999999,0.01,0.6255407579180943
-1.2,-0.29999999999999993,0.01,0.2791781178580702
0.8,-0.29999999999999993,0.01,0.6237162911474785
-1.2,-0.19999999999999996,0.01,0.26776882224517584
0.8,-0.19999999999999996,0.01,0.6181526193835908
-1.2,-0.09999999999999987,0.01,0.2958763916030264
0.8,-0.09999999999999987,0.01,0.6008420524658208
-1.2,2.220446049250313e-16,0.01,0.29564176025211353
0.8,2.220446049250313e-16,0.01,0.5955740522358282
-1.2,0.10000000000000009,0.01,0.2680353321796166
0.8,0.10000000000000009,0.01,0.5600694229102039
-1.2,0.20000000000000018,0.01,0.282717260570725
0.8,0.20000000000000018,0.01,0.3480835510545317
-1.2,0.30000000000000004,0.01,0.30000000000000004
0.8,0.30000000000000004,0.01,0.30000000000000004
-1.2,0.40000000000000013,0.01,0.40000000000000013
0.8,0.40000000000000013,0.01,0.40000000000000013
-1.2,0.5000000000000002,0.01,0.5000000000000002
0.8,0.5000000000000002,0.01,0.5000000000000002
-1.2,0.6000000000000001,0.01,0.6000000000000001
0.8,0.6000000000000001,0.01,0.6000000000000001
-1.2,0.7000000000000002,0.01,0.6299999835593856
0.8,0.7000000000000002,0.01,0.6124013380456564
-1.2,0.8,0.01,0.626574092021877
0.8,-1.2,0.001,0.4700544753126794
-1.2,-1.0999999999999999,0.001,0.39259711930306634
0.8,-1.0999999999999999,0.001,0.47005323417088063
-1.2,-1.0,0.001,0.38670830836478526
0.8,-1.0,0.001,0.4700507070011658
-1.2,-0.8999999999999999,0.001,0.3840155422558237
0.8,-0.8999999999999999,0.001,0.47004537563163495
-1.2,-0.7999999999999999,0.001,0.38447908823229626
0.8,-0.7999999999999999,0.001,0.47003367961792963
-1.2,-0.7,0.001,0.38786713580638643
0.8,-0.7,0.001,0.4700068830283274
-1.2,-0.5999999999999999,0.001,0.3938526090214984
0.8,-0.5999999999999999,0.001,0.4699424547902212
-1.2,-0.4999999999999999,0.001,0.37545447483447303
0.8,-0.4999999999999999,0.001,0.4697790135578771
-1.2,-0.3999999999999999,0.001,0.3874819417280453
0.8,-0.3999999999999999,0.001,0.4693392660224423
-1.2,-0.29999999999999993,0.001,0.37477176956994684
0.8,-0.29999999999999993,0.001,0.501938112809207
-1.2,-0.19999999999999996,0.001,0.3932101105006826
0.8,-0.19999999999999996,0.001,0.497491619523814
-1.2,-0.09999999999999987,0.001,0.38841819289128204
0.8,-0.09999999999999987,0.001,0.4838426437868688
-1.2,2.220446049250313e-16,0.001,0.3882214418821752
0.8,2.220446049250313e-16,0.001,0.47863617343017173
-1.2,0.10000000000000009,0.001,0.3935788479477332
0.8,0.10000000000000009,0.001,0.5012729241461774
-1.2,0.20000000000000018,0.001,0.3790822936177442
0.8,0.20000000000000018,0.001,0.39313375633874603
-1.2,0.30000000000000004,0.001,0.37174966135737886
0.8,0.30000000000000004,0.001,0.3844915896563485
-1.2,0.40000000000000013,0.001,0.40000000000000013
0.8,0.40000000000000013,0.001,0.40000000000000013
-1.2,0.5000000000000002,0.001,0.5000000000000002
0.8,0.5000000000000002,0.001,0.5000000000000002
-1.2,0.6000000000000001,0.001,0.47143208590745533
0.8,0.6000000000000001,0.001,0.5012654342852545
-1.2,0.7000000000000002,0.001,0.47547081329452545
0.8,0.7000000000000002,0.001,0.4935511840659613
-1.2,0.8,0.001,0.47005531875736173
0.8,-1.2,0.0001,0.4313441334112692
-1.2,-1.0999999999999999,0.0001,0.4274135310141782
0.8,-1.0999999999999999,0.0001,0.4313439605053869
-1.2,-1.0,0.0001,0.42575409159711936
0.8,-1.0,0.0001,0.4313436084921864
-1.2,-0.8999999999999999,0.0001,0.42483214614954323
0.8,-0.8999999999999999,0.0001,0.43134286610544487
-1.2,-0.7999999999999999,0.0001,0.42499821403165483
0.8,-0.7999999999999999,0.0001,0.43134123853132655
-1.2,-0.7,0.0001,0.4261190999895217
0.8,-0.7,0.0001,0.4313375152160824
