mode,var_pt,rho,criterion,iterations,error,status
Usztywnione A (-1.2),-1.1,0.01,inc,29,0.00012016935678293983,0
Usztywnione A (-1.2),-1.1,0.01,res,22,0.1632153176789804,2
Usztywnione A (-1.2),-1.1,0.001,inc,30,6.065374112962374e-07,0
Usztywnione A (-1.2),-1.1,0.001,res,26,0.03756258969888038,0
Usztywnione A (-1.2),-1.1,0.0001,inc,31,1.1855194603782593e-10,0
Usztywnione A (-1.2),-1.1,0.0001,res,28,0.002746177987768439,0
Usztywnione A (-1.2),-1.1,1e-05,inc,31,1.1855194603782593e-10,0
Usztywnione A (-1.2),-1.1,1e-05,res,29,0.00012016935678293983,0
Usztywnione A (-1.2),-1.1,1e-06,inc,31,1.1855194603782593e-10,0
Usztywnione A (-1.2),-1.1,1e-06,res,30,6.065374112962374e-07,0
Usztywnione A (-1.2),-1.1,1e-07,inc,32,1.1102230246251565e-16,0
Usztywnione A (-1.2),-1.1,1e-07,res,30,6.065374112962374e-07,0
Usztywnione A (-1.2),-1.1,1e-08,inc,32,1.1102230246251565e-16,0
Usztywnione A (-1.2),-1.1,1e-08,res,30,6.065374112962374e-07,0
Usztywnione A (-1.2),-1.1,1e-09,inc,32,1.1102230246251565e-16,0
Usztywnione A (-1.2),-1.1,1e-09,res,31,1.1855194603782593e-10,0
Usztywnione A (-1.2),-1.0,0.01,inc,28,0.0002818244075616372,0
Usztywnione A (-1.2),-1.0,0.01,res,22,0.1364202804805011,2
Usztywnione A (-1.2),-1.0,0.001,inc,29,2.4545808220977072e-06,0
Usztywnione A (-1.2),-1.0,0.001,res,25,0.043451400637161464,0
Usztywnione A (-1.2),-1.0,0.0001,inc,30,1.133906468719914e-09,0
Usztywnione A (-1.2),-1.0,0.0001,res,27,0.004405617404827367,0
Usztywnione A (-1.2),-1.0,1e-05,inc,30,1.133906468719914e-09,0
Usztywnione A (-1.2),-1.0,1e-05,res,28,0.0002818244075616372,0
Usztywnione A (-1.2),-1.0,1e-06,inc,31,4.496403249731884e-15,0
Usztywnione A (-1.2),-1.0,1e-06,res,29,2.4545808220977072e-06,0
Usztywnione A (-1.2),-1.0,1e-07,inc,31,4.496403249731884e-15,0
Usztywnione A (-1.2),-1.0,1e-07,res,29,2.4545808220977072e-06,0
Usztywnione A (-1.2),-1.0,1e-08,inc,31,4.496403249731884e-15,0
Usztywnione A (-1.2),-1.0,1e-08,res,30,1.133906468719914e-09,0
Usztywnione A (-1.2),-1.0,1e-09,inc,32,0.0,0
Usztywnione A (-1.2),-1.0,1e-09,res,30,1.133906468719914e-09,0
Usztywnione A (-1.2),-0.9,0.01,inc,27,0.0003990469699486354,0
Usztywnione A (-1.2),-0.9,0.01,res,21,0.1397528345985849,2
Usztywnione A (-1.2),-0.9,0.001,inc,28,4.3703341470746615e-06,0
Usztywnione A (-1.2),-0.9,0.001,res,24,0.046144166746123094,0
Usztywnione A (-1.2),-0.9,0.0001,inc,29,2.874708637801149e-09,0
Usztywnione A (-1.2),-0.9,0.0001,res,26,0.0053275628524034335,0
Usztywnione A (-1.2),-0.9,1e-05,inc,29,2.874708637801149e-09,0
Usztywnione A (-1.2),-0.9,1e-05,res,27,0.0003990469699486354,0
Usztywnione A (-1.2),-0.9,1e-06,inc,30,2.0317081350640365e-14,0
Usztywnione A (-1.2),-0.9,1e-06,res,28,4.3703341470746615e-06,0
Usztywnione A (-1.2),-0.9,1e-07,inc,30,2.0317081350640365e-14,0
Usztywnione A (-1.2),-0.9,1e-07,res,28,4.3703341470746615e-06,0
Usztywnione A (-1.2),-0.9,1e-08,inc,30,2.0317081350640365e-14,0
Usztywnione A (-1.2),-0.9,1e-08,res,29,2.874708637801149e-09,0
Usztywnione A (-1.2),-0.9,1e-09,inc,31,0.0,0
Usztywnione A (-1.2),-0.9,1e-09,res,29,2.874708637801149e-09,0
Usztywnione A (-1.2),-0.8,0.01,inc,26,0.0003764988621896004,0
Usztywnione A (-1.2),-0.8,0.01,res,20,0.13918152548137336,2
Usztywnione A (-1.2),-0.8,0.001,inc,27,3.967128795079322e-06,0
Usztywnione A (-1.2),-0.8,0.001,res,23,0.045680620769650404,0
Usztywnione A (-1.2),-0.8,0.0001,inc,28,2.4593899694558274e-09,0
Usztywnione A (-1.2),-0.8,0.0001,res,25,0.005161494970291891,0
Usztywnione A (-1.2),-0.8,1e-05,inc,28,2.4593899694558274e-09,0
Usztywnione A (-1.2),-0.8,1e-05,res,26,0.0003764988621896004,0
Usztywnione A (-1.2),-0.8,1e-06,inc,29,1.5765166949677223e-14,0
Usztywnione A (-1.2),-0.8,1e-06,res,27,3.967128795079322e-06,0
Usztywnione A (-1.2),-0.8,1e-07,inc,29,1.5765166949677223e-14,0
Usztywnione A (-1.2),-0.8,1e-07,res,27,3.967128795079322e-06,0
Usztywnione A (-1.2),-0.8,1e-08,inc,29,1.5765166949677223e-14,0
Usztywnione A (-1.2),-0.8,1e-08,res,28,2.4593899694558274e-09,0
Usztywnione A (-1.2),-0.8,1e-09,inc,30,5.551115123125783e-17,0
Usztywnione A (-1.2),-0.8,1e-09,res,28,2.4593899694558274e-09,0
Usztywnione A (-1.2),-0.7,0.01,inc,25,0.00024079701380075313,0
Usztywnione A (-1.2),-0.7,0.01,res,19,0.13497513568052194,2
Usztywnione A (-1.2),-0.7,0.001,inc,26,1.893436434974305e-06,0
Usztywnione A (-1.2),-0.7,0.001,res,22,0.04229257319556029,0
Usztywnione A (-1.2),-0.7,0.0001,inc,27,7.458818562788849e-10,0
Usztywnione A (-1.2),-0.7,0.0001,res,24,0.004040609012425034,0
Usztywnione A (-1.2),-0.7,1e-05,inc,27,7.458818562788849e-10,0
Usztywnione A (-1.2),-0.7,1e-05,res,25,0.00024079701380075313,0
Usztywnione A (-1.2),-0.7,1e-06,inc,28,2.275957200481571e-15,0
Usztywnione A (-1.2),-0.7,1e-06,res,26,1.893436434974305e-06,0
Usztywnione A (-1.2),-0.7,1e-07,inc,28,2.275957200481571e-15,0
Usztywnione A (-1.2),-0.7,1e-07,res,26,1.893436434974305e-06,0
Usztywnione A (-1.2),-0.7,1e-08,inc,28,2.275957200481571e-15,0
Usztywnione A (-1.2),-0.7,1e-08,res,27,7.458818562788849e-10,0
Usztywnione A (-1.2),-0.7,1e-09,inc,28,2.275957200481571e-15,0
Usztywnione A (-1.2),-0.7,1e-09,res,27,7.458818562788849e-10,0
Usztywnione A (-1.2),-0.6,0.01,inc,1,1.0250628597709286,1
Usztywnione A (-1.2),-0.6,0.01,res,17,0.1615219218922359,2
Usztywnione A (-1.2),-0.6,0.001,inc,25,4.3792386156260577e-07,0
Usztywnione A (-1.2),-0.6,0.001,res,21,0.03630709998044834,0
Usztywnione A (-1.2),-0.6,0.0001,inc,25,4.3792386156260577e-07,0
Usztywnione A (-1.2),-0.6,0.0001,res,23,0.002454119748708461,0
Usztywnione A (-1.2),-0.6,1e-05,inc,26,6.999911761340627e-11,0
Usztywnione A (-1.2),-0.6,1e-05,res,24,9.837634725795574e-05,0
Usztywnione A (-1.2),-0.6,1e-06,inc,26,6.999911761340627e-11,0
Usztywnione A (-1.2),-0.6,1e-06,res,25,4.3792386156260577e-07,0
Usztywnione A (-1.2),-0.6,1e-07,inc,27,0.0,0
Usztywnione A (-1.2),-0.6,1e-07,res,25,4.3792386156260577e-07,0
Usztywnione A (-1.2),-0.6,1e-08,inc,27,0.0,0
Usztywnione A (-1.2),-0.6,1e-08,res,25,4.3792386156260577e-07,0
Usztywnione A (-1.2),-0.6,1e-09,inc,27,0.0,0
Usztywnione A (-1.2),-0.6,1e-09,res,26,6.999911761340627e-11,0
