n,error_max,cond,time_s,memory_kb
2,0.000000e+00,3.000000e+00,1.462080e-04,4.828125e+00
12,9.298325e-06,1.668224e+02,1.348916e-03,6.640625e+00
22,1.811981e-05,5.732798e+02,3.985083e-03,9.257812e+00
32,2.193451e-05,1.222344e+03,7.929541e-03,1.265625e+01
42,4.732609e-05,2.114013e+03,1.357571e-02,1.683594e+01
52,4.792213e-05,3.248270e+03,2.075029e-02,2.179688e+01
62,9.578466e-05,4.625201e+03,2.948383e-02,3.057812e+01
72,1.253486e-04,6.244668e+03,3.964071e-02,4.108594e+01
82,1.857877e-04,8.106783e+03,5.043779e-02,5.315625e+01
92,2.326965e-04,1.021147e+04,6.168917e-02,6.678906e+01
102,2.133250e-04,1.255888e+04,7.640758e-02,8.198438e+01
112,2.148151e-04,1.514889e+04,9.432075e-02,9.874219e+01
122,2.648830e-04,1.798196e+04,1.109671e-01,1.170625e+02
132,3.834963e-04,2.105776e+04,1.303604e-01,1.369453e+02
142,9.601116e-04,2.437617e+04,1.493073e-01,1.583906e+02
