start_point1,start_point2,rho,error
0.8,-1.2,0.01,0.3698371531311045
-1.2,-1.0999999999999999,0.01,0.00012016935678293983
0.8,-1.0999999999999999,0.01,0.36983430134832956
-1.2,-1.0,0.01,0.0002818244075616372
0.8,-1.0,0.01,0.3698284946509031
-1.2,-0.8999999999999999,0.01,0.00039904696994869093
0.8,-0.8999999999999999,0.01,0.3698162447399848
-1.2,-0.7999999999999999,0.01,0.0003764988621896004
0.8,-0.7999999999999999,0.01,0.36978937084471647
-1.2,-0.7,0.01,0.00024079701380075313
0.8,-0.7,0.01,0.3697278008577272
-1.2,-0.5999999999999999,0.01,1.0250628597709286
0.8,-0.5999999999999999,0.01,0.36957976800567277
-1.2,-0.4999999999999999,0.01,0.9279130506636368
0.8,-0.4999999999999999,0.01,0.36920425520200156
-1.2,-0.3999999999999999,0.01,0.829249411075368
0.8,-0.3999999999999999,0.01,0.3681940182682322
-1.2,-0.29999999999999993,0.01,0.7298230155904495
0.8,-0.29999999999999993,0.01,0.3653049226535873
-1.2,-0.19999999999999996,0.01,0.6300471326918669
0.8,-0.19999999999999996,0.01,0.3566146582701833
-1.2,-0.09999999999999987,0.01,0.5301261371228617
0.8,-0.09999999999999987,0.01,4.8782409507674984e-05
-1.2,2.220446049250313e-16,0.01,0.430150941742628
0.8,2.220446049250313e-16,0.01,5.379213223966062e-06
-1.2,0.10000000000000009,0.01,0.3301577534872678
0.8,0.10000000000000009,0.01,0.12323220671040253
-1.2,0.20000000000000018,0.01,0.23015934912326433
0.8,0.20000000000000018,0.01,0.07499129192818677
-1.2,0.30000000000000004,0.01,0.13015965703815813
0.8,0.30000000000000004,0.01,0.0003548389557766485
-1.2,0.40000000000000013,0.01,0.03015970473141788
0.8,0.40000000000000013,0.01,0.028803373204920657
-1.2,0.5000000000000002,0.01,0.0698402792479928
0.8,0.5000000000000002,0.01,0.06717357631737786
-1.2,0.6000000000000001,0.01,0.16984021149436163
0.8,0.6000000000000001,0.01,5.752479605269922e-06
-1.2,0.7000000000000002,0.01,0.2698398988833532
0.8,0.7000000000000002,0.01,0.0003188969341805792
-1.2,0.8,0.01,0.36983872204857876
0.8,-1.2,0.001,0.3698371531311045
-1.2,-1.0999999999999999,0.001,6.065374112962374e-07
0.8,-1.0999999999999999,0.001,0.36983430134832956
-1.2,-1.0,0.001,2.4545808220977072e-06
0.8,-1.0,0.001,0.3698284946509031
-1.2,-0.8999999999999999,0.001,4.370334147130173e-06
0.8,-0.8999999999999999,0.001,0.3698162447399848
-1.2,-0.7999999999999999,0.001,3.967128795079322e-06
0.8,-0.7999999999999999,0.001,0.36978937084471647
-1.2,-0.7,0.001,1.893436434974305e-06
0.8,-0.7,0.001,0.3697278008577272
-1.2,-0.5999999999999999,0.001,4.379238616181169e-07
0.8,-0.5999999999999999,0.001,0.36957976800567277
-1.2,-0.4999999999999999,0.001,3.9188868705686275e-08
0.8,-0.4999999999999999,0.001,0.36920425520200156
-1.2,-0.3999999999999999,0.001,0.829249411075368
0.8,-0.3999999999999999,0.001,0.3681940182682322
-1.2,-0.29999999999999993,0.001,0.7298230155904495
0.8,-0.29999999999999993,0.001,6.772948011601887e-06
-1.2,-0.19999999999999996,0.001,0.6300471326918669
0.8,-0.19999999999999996,0.001,4.36225685152003e-06
-1.2,-0.09999999999999987,0.001,0.5301261371228617
0.8,-0.09999999999999987,0.001,2.657324262855809e-07
-1.2,2.220446049250313e-16,0.001,0.430150941742628
0.8,2.220446049250313e-16,0.001,2.1181963294480965e-08
-1.2,0.10000000000000009,0.001,0.3301577534872678
0.8,0.10000000000000009,0.001,1.5982702661343495e-08
-1.2,0.20000000000000018,0.001,0.23015934912326433
0.8,0.20000000000000018,0.001,9.293162957502155e-07
-1.2,0.30000000000000004,0.001,0.13015965703815813
0.8,0.30000000000000004,0.001,3.62321394370424e-06
-1.2,0.40000000000000013,0.001,0.03015970473141788
0.8,0.40000000000000013,0.001,4.5532525597691276e-06
-1.2,0.5000000000000002,0.001,0.0698402792479928
0.8,0.5000000000000002,0.001,5.195408880331875e-07
-1.2,0.6000000000000001,0.001,0.16984021149436163
0.8,0.6000000000000001,0.001,5.752479605269922e-06
-1.2,0.7000000000000002,0.001,0.2698398988833532
0.8,0.7000000000000002,0.001,2.4559844909455286e-06
-1.2,0.8,0.001,0.36983872204857876
0.8,-1.2,0.0001,0.3698371531311045
-1.2,-1.0999999999999999,0.0001,1.1855194603782593e-10
0.8,-1.0999999999999999,0.0001,0.36983430134832956
-1.2,-1.0,0.0001,1.133906468719914e-09
0.8,-1.0,0.0001,0.3698284946509031
-1.2,-0.8999999999999999,0.0001,2.8747086933123e-09
0.8,-0.8999999999999999,0.0001,0.3698162447399848
-1.2,-0.7999999999999999,0.0001,2.4593899694558274e-09
0.8,-0.7999999999999999,0.0001,0.36978937084471647
-1.2,-0.7,0.0001,7.458818562788849e-10
0.8,-0.7,0.0001,0.3697278008577272
-1.2,-0.5999999999999999,0.0001,4.379238616181169e-07
0.8,-0.5999999999999999,0.0001,1.3632001749641631e-08
-1.2,-0.4999999999999999,0.0001,3.9188868705686275e-08
0.8,-0.4999999999999999,0.0001,1.3286416244984167e-08
-1.2,-0.3999999999999999,0.0001,8.584145616552519e-10
0.8,-0.3999999999999999,0.0001,1.2351559719459004e-08
-1.2,-0.29999999999999993,0.0001,4.732201941415326e-08
0.8,-0.29999999999999993,0.0001,9.737900763528984e-09
-1.2,-0.19999999999999996,0.0001,9.186257310389578e-11
0.8,-0.19999999999999996,0.0001,3.783578061966608e-09
-1.2,-0.09999999999999987,0.0001,0.5301261371228617
0.8,-0.09999999999999987,0.0001,2.657324262855809e-07
-1.2,2.220446049250313e-16,0.0001,0.430150941742628
0.8,2.220446049250313e-16,0.0001,2.1181963294480965e-08
-1.2,0.10000000000000009,0.0001,0.3301577534872678
0.8,0.10000000000000009,0.0001,1.5982702661343495e-08
-1.2,0.20000000000000018,0.0001,0.23015934912326433
0.8,0.20000000000000018,0.0001,2.436164048269518e-10
-1.2,0.30000000000000004,0.0001,0.13015965703815813
0.8,0.30000000000000004,0.0001,2.1147730233650464e-09
-1.2,0.40000000000000013,0.0001,0.03015970473141788
0.8,0.40000000000000013,0.0001,3.823326044649633e-09
-1.2,0.5000000000000002,0.0001,0.0698402792479928
0.8,0.5000000000000002,0.0001,5.195408880331875e-07
-1.2,0.6000000000000001,0.0001,0.16984021149436163
0.8,0.6000000000000001,0.0001,6.732328361458428e-09
-1.2,0.7000000000000002,0.0001,0.2698398988833532
0.8,0.7000000000000002,0.0001,1.2473805321988607e-09
-1.2,0.8,0.0001,0.36983872204857876
0.8,-1.2,1e-05,0.3698371531311045
-1.2,-1.0999999999999999,1e-05,1.1855194603782593e-10
0.8,-1.0999999999999999,1e-05,0.36983430134832956
-1.2,-1.0,1e-05,1.133906468719914e-09
0.8,-1.0,1e-05,0.3698284946509031
-1.2,-0.8999999999999999,1e-05,2.8747086933123e-09
0.8,-0.8999999999999999,1e-05,1.3848498015001098e-08
-1.2,-0.7999999999999999,1e-05,2.4593899694558274e-09
0.8,-0.7999999999999999,1e-05,1.382394798632447e-08
-1.2,-0.7,1e-05,7.458818562788849e-10
0.8,-0.7,1e-05,1.3767648354701123e-08
-1.2,-0.5999999999999999,1e-05,6.999906210225504e-11
0.8,-0.5999999999999999,1e-05,1.3632001749641631e-08
-1.2,-0.4999999999999999,1e-05,1.4030998585212728e-12
0.8,-0.4999999999999999,1e-05,1.3286416244984167e-08
-1.2,-0.3999999999999999,1e-05,8.584145616552519e-10
0.8,-0.3999999999999999,1e-05,1.2351559719459004e-08
-1.2,-0.29999999999999993,1e-05,1.90475413219815e-12
0.8,-0.29999999999999993,1e-05,9.737900763528984e-09
-1.2,-0.19999999999999996,1e-05,9.186257310389578e-11
0.8,-0.19999999999999996,1e-05,3.783578061966608e-09
-1.2,-0.09999999999999987,1e-05,6.086353643297571e-10
0.8,-0.09999999999999987,1e-05,2.0914769915947318e-11
-1.2,2.220446049250313e-16,1e-05,0.430150941742628
0.8,2.220446049250313e-16,1e-05,2.1181963294480965e-08
-1.2,0.10000000000000009,1e-05,0.3301577534872678
0.8,0.10000000000000009,1e-05,1.5982702661343495e-08
-1.2,0.20000000000000018,1e-05,0.23015934912326433
0.8,0.20000000000000018,1e-05,2.436164048269518e-10
-1.2,0.30000000000000004,1e-05,0.13015965703815813
0.8,0.30000000000000004,1e-05,2.1147730233650464e-09
-1.2,0.40000000000000013,1e-05,0.03015970473141788
0.8,0.40000000000000013,1e-05,3.823326044649633e-09
-1.2,0.5000000000000002,1e-05,0.0698402792479928
